Comment,Llama 70B,Mixtral,Llama 70B Round1,Mixtral Round1,Llama 70B R2,Mixtral R2,Llama 70B R3,Mixtral R3,Llama 70B Final,Mixtral Final
"Part 3
The owner of Remedy Wine Bar (which closes in days) asked people why they sh*t in his doorway when there is a Public Loo nearby.  Answer: Drug Dealers don’t allow them to use the loo; they’re doing business. 

Allowing that segment of the squatters who suffer (a) from mental illness or (b) addiction to rot outside is not an act of compassion.  If the Police may not engage, then they cannot triage.  YOU and Mayor Hales are, literally, killing them with your kindness. 

If you think I’m an illiberal jerk, I’ll tell that I gave a year of my life (unpaid) to the Democratic Party in an effort to make Oregon a one-party state.  

Now, it is time for Democrats to evolve.

P.S.  Would you prefer a locked gate or armed guards?",Enabling vs. Tough Love: Democrat's Dilemma,Enforced Compassion,"1. Democrat's Dilemma: Compassion vs. Accountability
2. Structured Compassion","- Compassion vs. Accountability: A Structured Approach
- Balancing Compassion and Accountability in Addressing Homelessness
- Reevaluating Compassion: From Enablement to Empowerment
- Effective Compassion: A Middle Ground Between Empathy and Accountability",Balancing Compassion and Accountability: Democrat's Dilemma,"- Compassion vs. Accountability: A Balanced Approach
- Balancing Compassion and Accountability
- Structured Compassion: A New Approach","1. Balancing Compassion and Accountability: Democrat's Dilemma
2. Compassion vs. Accountability: A Structured Approach
3. Enforced Compassion: Balancing Kindness and Restrictions","- Compassion with Boundaries
- Balanced Approach to Homelessness
- Accountable Kindness
- Structured Compassion
- Kindness with Accountability","Compassion with Boundaries  
Balanced Approach to Homelessness  
Accountable Kindness",Compassion with Boundaries
"Militia's aren't your friend nor are they trying to protect or help anyone except themselves.  Please inform yourselves about what Sovereign Citizen Movement Militias are trying to do.  This militia group associated with this philosophy of Sovereign Citizens who believe in their right to not obey the laws, pay taxes they're lawless and make up their own laws and Constitution. These Militias  have killed more law enforcement across the  United States than any other movement.  The the membership is  all white extremists hate group who want to overthrow the State and United States Government.  They're not good guys they criminals and they kill people and seek revenge. Militia's hold  Kangaroo Courts, bully, stalk, harass and kill  people in communities that disagree. Communities do not want their help or protection so please get educated about these Sovereign Citizen Militias, they're dangerous.","Dangerous, Lawless, White Extremist Militias opposing government and community norms",Dangerous Extremism,"**Dangerous White Extremist Extremism**

This code conveys the threatening and harmful nature of the sovereign citizen militias, and includes the specific aspects highlighted by LLM-1: the dangerous and lawless behavior, the opposition to both government authority and community norms, and the predominantly white extremist membership. LLM-2's code contributes the general warning conveyed by the comment, and the extremist ideology and actions underpinning the group's behavior. By combining these elements, the refined code provides a comprehensive and succinct description of the comment, effectively conveying its key themes.","- Dangerous Extremism
- White Extremist Militias: Dangerous and Lawless
- Dangerous White Extremism: Threat to Government and Community","White Extremist Militias: Threat to Government, Community, and Law through Dangerous and Lawless Behavior","- White Extremist Militias: Threat to Governance and Community
- Dangerous White Extremist Militias
- Extremist Ideology
- Threat to Governance
- Community Intimidation
- Lawlessness and Violence
- Violent White Extremist Militias: Threat to Governance and Community
- Radical Anti-Government Groups: Lawlessness and Intimidation
- Dangerous Sovereign Citizen Militias: Extremist Ideology and Violence
- White Extremist Militias: Threat to Community Safety and Governance","White Extremist Militias: Threat to Government, Community, and Law through Dangerous and Lawless Behavior","- Streamline the language
- Focus on key themes
- Incorporate unique aspects
- Use more descriptive language","White Extremist Militias: Threat to Government and Community through Dangerous, Lawless Behavior","White Extremist Militias: Threat to Government, Community, and Law through Dangerous and Lawless Behavior"
"Well, this wasn't meant to be a dissertation. It's an entertainment piece, so I was mostly trying to be funny—whether I was successful in that regard is up to the reader. And of all these guys, I have a certain fondness for Hitchens, as I make clear, but I had to make fun of him for that whole ""women aren't funny"" thing. And while I can't say I have any ""favorite"" atheist artists or writers—I don't really seek them out, to be honest—I certainly don't think all atheists are ""awful"" (some of my best friends are atheists; some of them may even be gay and/or black!). I mostly just get annoyed when someone thinks identifying as an atheist inherently makes them smarter than a rational theist. I'm cool with whatever philosophical choice you've decided to live your life under, as long as you're not a dick about it.",Humorous critique of atheist stereotypes while maintaining respect for individual philosophical choices.,Respectful Skepticism,Humorous Respectful Skepticism,"1. Humorous Playful Respectful Skepticism
2. Humorous Respectful Skepticism with Philosophical Tolerance
3. Humorous Respectful Skepticism with Intellectual Humility
4. Humorous Skepticism with Philosophical Tolerance
5. Respectful Humor with Intellectual Humility",Playful Respectful Skepticism,"- Playful Respectful Skepticism
- Playful Respectful Skepticism with Intellectual Humility
- Humorous Skepticism with Respect
- Lighthearted Philosophical Critique
- Lighthearted Humor
- Respect for Individual Choices
- Intellectual Humility","**Playful Intellectual Humility**

Definition: A lighthearted, good-natured approach that challenges stereotypes while acknowledging individual philosophical choices, promoting intellectual humility, and fostering respectful coexistence among people with varying beliefs.","- Playful Respectful Skepticism
- Intellectually Humble Playful Respectful Skepticism
- Playful Respectful Skepticism with Intellectual Humility
- Humor
- Respect
- Skepticism
- Intellectual Humility","Playful Respectful Skepticism

* Playful critique
* Respect for individual philosophical choices
* Philosophical tolerance
* Intellectual humility
* Self-awareness",**Playful Respectful Skepticism**
"I think what we have here is a case when a coach gets so frustrated at the fact that his team (which he as probably seen play very aggressive against teams that mirror them) got on the court against a predominately if not all African American Team and wanted no parts of the competition physically. In a attempt to say hey fellas its basketball, hello!!! don't be afraid of them cause they don't look like you. Please fellas it can't be because they don't look like you. Damn it, it is. I can't believe this ish! Can you envision the frustration a coach could have if he believes his team is not playing defense because they don't want to touch a kid that is umm ""black."" Is this a far fetched assumption by coach Adelman? Did he handle it correctly, not sure but......",Racial Fear Affecting Team Dynamics,Racialized Frustration,"Racial Fear Impacting Team Aggression

Racialized Performance Anxiety","- Racial Fear-Induced Performance Apprehension
- Racialized Emotional Barrier to Aggression
- Racial Fear Impacting Team Aggression in Interscholastic Sports
- Racialized Performance Anxiety in Interracial Athletic Competitions
- Racial Fear Reinforced by Coaching Expectations
- Racialized Performance Pressures Exacerbated by Coaching Dynamics
- Implicit Racial Bias Influencing Coaching Decisions
- Racialized Assumptions About Opposition Teams
- Racial Fear-Induced Performance Apprehension in Interracial Athletic Competitions
- Racialized Emotional Barrier to Aggression Reinforced by Coaching Expectations
- Implicit Racial Bias Influencing Coaching Dynamics and Team Performance
- Racialized Performance Pressures Exacerbated by Coaching Decisions and Implicit Bias","LLM-1: Perceived Racial Fear Impacting Team Dynamics and Performance

LLM-2: Racialized Power Dynamics and Emotional Response in Coaching","- Racially Charged Anxiety
- Fear-Induced Performance Apprehension
- Interracial Competition Anxiety
- Racial Discomfort in Athletic Settings
- Coach's Racialized Expectations
- Power Imbalance in Racially Charged Encounters
- Unconscious Racial Bias in Coaching
- Stereotype-Driven Performance Expectations
- Racialized Performance Anxiety in Interracial Competition
- Coach's Racially Charged Frustration in Athletic Settings
- Power Imbalance and Racial Discomfort in Team Dynamics
- Implicit Racial Bias in Coaching Decision-Making","LLM-1: Perceived Racial Fear Impacting Team Dynamics

LLM-2: Racialized Frustration with Power Dynamics","- **Racialized Anxiety in Athletic Competition**
- **Coach's Frustration with Racialized Team Dynamics**
- **Power Dynamics and Racial Bias in Sports**
- **Implicit Bias and Team Performance in Diverse Environments**
- **Emotional Labor and Racialized Expectations in Coaching**",Racialized Emotional Dynamics and Power Imbalance,"1. Racial Fear Impacting Team Aggression (LLM-1)
2. Racialized Performance Anxiety (LLM-2)"
"All this ""support our"" troops"" stuff is a bunch of drivel.  Why people would respect anyone who is willing to kill someone because they were ordered to by another, is beyond my comprehension. People who volunteer to participate in American gangsterism obviously do so for personal material gain--and they likely wrap their self-interest in the mantle of patriotism or some other nonsense. 
Reinstitute a draft, include women,--go for it. The soft-brained ones will show up ready and willing. A bunch of others will head for the hills with their backpacks in hand and still others will simply head for jail. It could be the beginning of something positive, drafting women. Better the former scenarios than be institutionalized by the U.S. military's raping and robbing machine. Down with American imperialism, at home and abroad.",Anti-militarism/Critique of military service and motivation.,Anti-Militarism,Critique of Militarism and Motivations,"1. Critique of Militarism and Patriotic Motivations
2. Critique of Military Ideology
3. Questioning of Patriotic Motivations
4. Analysis of Self-Interest vs. Altruism in Military Service
5. Critique of Institutional Violence
6. Analysis of Power Dynamics in Military Recruitment
7. Examination of the Intersection of Nationalism and Militarism","Critique of Militarism and Motivations  
Anti-Militarism: Imperialism and Self-Interest","1. **Merge and Refine**: 
   - Critique of Militarism and Imperialism

2. **Specify Sub-codes**: 
   - Sub-codes for Critique of Militarism and Imperialism:
     + Opposition to Military Expansion
     + Critique of Patriotic Justifications
     + Analysis of Self-Interest Motivations

3. **Broaden the Scope**: 
   - Additional sub-themes for Critique of Militarism and Imperialism:
     * Economic Motivations behind Militarism
     * Social Consequences of Militarism
     * Alternative Forms of Patriotism

4. **Clarify Definitions**: 
   - Provide definitions for each code and sub-code.

5. **Iterative Refining**: 
   - Continuously analyze and refine the codes through an iterative process.","1. Critique of Militarism, Expansion, and Motivations
2. Critique of Military-Supported Imperialism and Personal Motivations","* **LLM-1:** Critique of Militarism, Expansion, and Motivations
* **LLM-2:** Critique of Military-Supported Imperialism and Personal Motivations","1. Critique of Militarism and Motivations
2. Anti-Militarism: Imperialism and Self-Interest","1. Critique of Militarism and Motivations
2. Anti-Militarism: Imperialism and Self-Interest"
"I see it. The black people riot, set buildings on fire, loot businesses, attack innocent people and attack the police and the FBI did nothing . what the black people did last year was a act of terrorism by placing innocent people's lives  in danger . these white men did not riot, did not burn down buildings, did not attack innocent people, did not attacks cops and did not place innocent peoole's life in danger but the FBI went after them as if they were terrorist. There is a big difference in between in how we act compared to the black lives matter people.",Differential Response to Black vs. White Civil Unrest,Double Standard/Racial Bias,"**Differential Response to Black vs. White Civil Unrest (Double Standard/Racial Bias)**

This code captures the perceived discrepancy in the response to civil unrest involving Black and White individuals, with harsher measures being taken against White groups despite their actions being characterized as less violent. The code also emphasizes the different behaviors exhibited by Black and White groups during civil unrest, and suggests that this discrepancy is due to a double standard or racial bias in the treatment of different racial groups by law enforcement. This code conveys the specific issue of differential treatment while also acknowledging the broader context of racial bias.","**Systemic Racial Bias in Law Enforcement Response to Civil Unrest**

This code captures the perceived discrepancy in law enforcement's response to civil unrest, highlighting the differential treatment of Black individuals and White groups, with a focus on the historical and systemic power imbalance, and the potential for racial bias in favor of or against a particular group.

**Differential Law Enforcement Response to Racialized Civil Unrest (Systemic Racial Bias)**

This code emphasizes the perceived disparity in law enforcement's response to civil unrest, with a focus on the racialized nature of the events, and the potential for systemic racial bias to influence the treatment of different groups.",Differential Response to Civil Unrest (Double Standard/Racial Bias and Systemic Racism),"1. **Specify the direction of bias**: Clarify whether the bias is in favor of or against a particular racial group. This will help to ensure that the code accurately captures the perceived issue.

2. **Incorporate the concept of systemic racism**: Consider adding language that acknowledges the role of systemic racism in perpetuating unequal treatment. This could include phrases such as institutional racism or structural racism to emphasize the idea that the bias is embedded in the system.

3. **Emphasize the power dynamic**: Highlight the power imbalance between law enforcement and marginalized communities, which can contribute to the perceived bias.

4. **Consider adding a subset of codes**: Break down the main code into smaller, more specific subcodes that capture different aspects of the issue, such as:
   * Disproportionate response to Black civil unrest
   * Leniency towards White civil unrest
   * Racial bias in policing practices
   * Systemic racism in law enforcement institutions

5. **Use more descriptive language**: Instead of using general terms like differential response, consider using more descriptive language that captures the essence of the issue, such as disproportionate force, unequal treatment, or racialized policing.

6. **Incorporate the concept of intersectionality**: Consider adding language that acknowledges the intersection of multiple forms of oppression, such as racism, sexism, and classism, which can contribute to the perceived bias.",Collaborative Refinement: Perceived Discrepancy in Law Enforcement Response to Civil Unrest (Directional Double Standard/Systemic Racial Bias and Power Dynamics).,"Systemic Racial Bias in Law Enforcement Response to Civil Unrest (Directional Double Standard, Intersectional Discrimination, and Emotional Impact)","Systemic Racial Bias in Law Enforcement Response to Civil Unrest (Directional Double Standard, Intersectional Discrimination, Power Dynamics, and Emotional Impact)","Systemic Racial Bias in Law Enforcement Response to Civil Unrest (Directional Double Standard, Intersectional Discrimination, and Emotional Impact)"
"Bunkerhill01, I see why this looks bad.  But let's look at the differences.

The bad policing we saw with black Lives Matter was bad policing by local police.

What we saw in Malheur was the FBI trying to avoid another Ruby Ridge.

I think if the FBI was responding to a Black Lives protest, you might have seen better policing.

Likewise, if the Ferguson police force had been put in charge of the Malheur occupation, there would have been a bloodbath.

I don't ""love"" the FBI, but they are smarter and better trained than the underpaid, under trained cops that beat up protestors.

My issue is why the FBI wasn't at the Malheur refuse when the Bundys showed up and why the BLM didn't at least remove computers and heavy equipment.  Live and learn.

But yeah, I share your feelings that a racist religious terrorist like Ammon Bundy seems to get off easy. Lets hope he does a lot of time.",The qualitative code for the comment is: Impact of training and context on law enforcement responses.,Contextualizing Injustice,Context-dependent policing and perceived injustice,"Context-dependent policing: contrasting approaches, training, and systemic bias","Contrasting police responses: impact of context, training, and perceived injustice

Contextualizing police responses: contrasting approaches, training, and systemic bias, with emotional tone","* Context-dependent policing: contrasting approaches, training, and systemic bias, marked by frustration and criticism
* Disparate law enforcement responses: unequal treatment, contextual influences, and perceived injustices, conveying concern and outrage
* Policing in context: double standards, institutional flaws, and emotional responses to social movements and public protests","Context-dependent policing: contrasting emotionally-charged descriptions of approaches, influenced by training and perceived systemic bias","Context-dependent policing: contrasting, emotionally-charged approaches to social unrest, influenced by training, systemic bias, and institutional factors, with a focus on disproportionate responses and perceived injustices.","Context-dependent policing: contrasting approaches, emotional tone, training, systemic bias.","Context-dependent policing: contrasting emotionally-charged, training-influenced approaches through a lens of perceived systemic bias"
"I can't understand how defenders of Israel can condone the theft of Palestinian land; and how they can be justified on any grounds other than, well, we can take it.  Israel has continually drifted into the thrall of ultra right-wing Jews who believe that the only good Arab is a dead Arab, even to the point of murdering their own leaders (Rabin). Israel will never know peace unless and until they own up to what they did in 1967. I agree that the Palestinian leadership has been less than forthright over the years but in fact the great roadblock will forever be the West Bank and Gaza. 

Moreover, as long as 20% of the Israeli population are Arabs (who are strangers in their own land) Israel will never be fully democratic nor fully Jewish. It can be one or the other but not both. 

Now, Mr. Weinerman invokes the current chaos neighboring countries; chaos caused entirely by the American intervention in Iraq in 2003, as reason enough to hold on to what they took nearly 50 years ago.",Israeli land expansion & impact on democracy & peace,Israeli-Palestinian Conflict: Injustice and Occupation,"1. Israeli Settlement Expansion: Impact on Peace and Democracy
2. Palestinian Land Theft: Injustice and Peace Negotiations
3. Jewish Influence and Israeli Identity
4. External Factors: US Intervention and Middle East Conflict
5. Critique of Israeli Policy
6. Palestinian Rights and Justice","1. Israeli Occupation and Palestinian Dispossession
2. Democracy and Human Rights in Israel/Palestine
3. US Intervention and Middle East Conflict
4. Jewish Identity and Israeli Policy
5. Peace and Justice in the Israeli-Palestinian Conflict
6. Israeli Settlement Expansion: Impact on Peace and Democracy
7. Palestinian Rights and Justice","Conflict and Occupation:

1. Israeli settlement expansion: Impact on peace
2. Palestinian land theft: Injustice and peace negotiations
3. Historical grievances: Unresolved issues from the past
4. Israeli-Palestinian conflict: Injustice and occupation

Democracy and Human Rights:

1. Jewish influence and Israeli identity: Democracy and peace
2. Israeli democracy: Impact of Arab population
3. Palestinian rights and justice
4. Critique of Israeli policy: Impact on democracy and human rights

External Factors and Identity:

1. US intervention and Middle East conflict
2. International community's role in conflict resolution
3. Global politics and regional stability
4. Israeli-Palestinian conflict: Identity, religion, and ethnicity","1. **Conflict and Occupation**:
   * Israeli Settlement Expansion
   * Occupation and Displacement
   * Palestinian Land Rights

2. **Democracy and Human Rights**:
   * Democracy and Equality in Israel
   * Human Rights in the Occupied Territories
   * Jewish Identity and Democracy

3. **External Factors and Identity**:
   * US Intervention and Middle East Conflict
   * Regional Politics and Conflict
   * Identity Politics and Nationalism","1. Conflict and Occupation:
   - Israeli Settlement Expansion: Impact on Peace and Democracy
   - Palestinian Land Theft: Injustice and Peace Negotiations
   - Historical Grievances and Palestinian Rights

2. Democracy and Human Rights:
   - Jewish Influence and Israeli Identity
   - Democratic Status and Israeli Arab Population
   - Peace, Justice, and Democracy in the Middle East

3. External Factors and Identity:
   - US Intervention and Middle East Conflict
   - External Influences and Israeli Policy
   - American Intervention as a Peace Justification","1. **Conflict and Occupation**:
   * Israeli Settlement Expansion: Impact on Peace and Democracy
   * Palestinian Land Theft: Injustice and Peace Negotiations
   * Occupation and Displacement: Humanitarian Concerns

2. **Democracy and Human Rights**:
   * Israeli Democracy: Impact of Arab Population and Jewish Influence
   * Palestinian Rights and Justice: Self-Determination and Statehood
   * Human Rights Violations: Accountability and International Law

3. **External Factors and Identity**:
   * US Intervention: Impact on Middle East Conflict and Israeli-Palestinian Relations
   * Jewish Identity and Israeli Policy: Nationalism and Zionism
   * Regional Geopolitics: Role of Neighboring Countries and International Community","Main Themes:

1. Conflict and Occupation
   * Israeli Settlement Expansion: Impact on Peace and Democracy
   * Palestinian Land Theft: Injustice and Peace Negotiations

2. Democracy and Human Rights
   * Jewish Influence and Israeli Identity
   * Palestinian Rights and Justice

3. External Factors and Identity
   * Critique of Israeli Policy
   * US Intervention and Middle East Conflict","**Main Themes:**

1. **Conflict and Occupation**
   * Israeli Settlement Expansion: Impact on Peace and Democracy
   * Palestinian Land Theft: Injustice and Peace Negotiations

2. **Democracy and Human Rights**
   * Critique of Israeli Policy
   * Palestinian Rights and Justice

3. **External Factors and Identity**
   * Jewish Influence and Israeli Identity
   * External Factors: US Intervention and Middle East Conflict"
"Since the Republicans have vowed to deny any nominee a vote, Obama should make a recess appointment.  Currently Congress is in recess and he could do it now.  Even if they managed to block and delay for the rest of the year, my understanding is that he could push through a nominee without consent from the Senate the first part of January.

Let's get something clear about Scalia.  Our politics are a direct reflection of our moral beliefs.  He was understandably a conservative hero.  He was a champion of bigotry, blocking progress for non-heterosexuals at every turn.  He also blocked environmental protection every chance he got.  He had nine children, which is selfish and irresponsible......he was probably opposed to birth control.  And one of his favorite activities was killing defenseless animals for fun.  He was a terrible person.   This world and our Supreme Court  is much better off without him.","```plaintext
Condemnation of Scalia's conservative, bigoted, and anti-environmental legacy
```",Partisan Justice,"1. Politicized Justice
2. Conservative Polarization
3. Moral Judgment
4. Environmental Critique
5. Obama Appointment Critique
6. Progressive Outrage","- Merge and Refine
- Specify and Expand
- Maintain Breadth and Depth
- Iterative Review","1. Partisan Polarization
2. Moral Disputes on Judicial Legacy
3. Obama Nomination Controversy
4. Conservative Judicial Critique
5. Justice and Ideology","- Partisan Justice: Ideological polarization, Republican obstructionism, Democratic response
- Moral Polarity: Social justice concerns, Environmental impact, Human rights issues
- Judicial Legacy: Scalia's conservative, bigoted, and anti-environmental legacy, Obama nomination controversy
- Emotional Tone: Outrage, Disgust, Criticism
- Complexity: Grey areas, Nuances, Paradoxes","1. Political Ideology and Judicial Legacy
2. Moral Disputes and Partisan Polarization
3. Progressive Outrage and Justice Ideology","- **Partisan Justice**: captures the theme of political ideology and moral judgment in the context of the Supreme Court
- **Moral Disputes**: reflects the speaker's strong emotions and criticisms towards Scalia's legacy and conservative beliefs
- **Conservative Judicial Critique**: focuses on the critique of Scalia's legacy and the speaker's perspective on the role of the Supreme Court
- **Progressive Outrage**: captures the speaker's emotional response to Scalia's conservative beliefs and actions
- **Judicial Ideology**: explores the complex relationship between justice and ideology in the context of the Supreme Court
- **Political Polarization**: reflects the theme of partisan polarization and the speaker's political stance on the issues mentioned.","Code Name: Political, Ideological, and Moral Critique of Scalia's Legacy

Key Aspects:

* Critique of Scalia's legacy and ideological stance
* Moral disputes and progressive outrage towards Scalia's legacy
* Partisan polarization and political influences on judicial decisions
* Complex relationship between justice and ideology
* Conservative judicial critique and Obama nomination controversy","1. **Partisan Polarization**
2. **Moral Disputes on Judicial Legacy**
3. **Obama Nomination Controversy**
4. **Conservative Judicial Critique**
5. **Progressive Outrage**
6. **Justice and Ideology**
7. **Political Stance**
8. **Moral Judgment**

**Sub-codes:**

1.1. **Partisan Language**
1.2. **Moral Framework**
2.1. **Critique of Scalia's Decisions**
3.1. **Obstructionism**
4.1. **Ideological Bias**
5.1. **Emotional Tone**"
"""This law subverts our ability to be watchful."" - You need to pay closer attention.  All this bill does is make current case law here in Oregon statutory.   The legal system is already operating on this basis, and no abuse has ever occurred.  

""Conflating the civil disobedience of a group who has to date never hurt or killed anyone with radical Muslim extremists is nonsense"" - No, they are very much the same thing.   Both are being tracked by the Southern Poverty Law Center and others for being hate groups, as well as being monitored by the Department of Homeland Security.  Both pose a real danger to the government and to members of law enforcement.   They are heavily armed, and often threaten violence.

You forget about all of the many reports that came out of Burns, of people being intimidated and threatened by the Malheur occupiers and their supporters.  Many people in Burns were scared.  Those arrested all appear to be very dangerous armed individuals, who are mentally ill.",Misinterpretation of Threat and Motivation,Normalizing Surveillance,**Normalizing Surveillance through Misinterpretation of Threat and Motivation**,"1. **Normalizing Surveillance through Misinterpretation of Threat and Motivation**
2. **Legitimizing Surveillance and Control through Misframed Threat Narratives**
3. **Surveillance and Stigma through Threat Conflation**",Legitimizing Surveillance and Control through Misframed Threat Narratives and Group Stigmatization,"* **Legitimizing Surveillance and Control through Misframed Threat Narratives and Group Stigmatization**
* **Surveillance and Stigma through Threat Conflation and Power Imbalance**
* **Normalizing Control through Misinterpreted Threats and Marginalization**
* **Misframed Threats and Legitimized Surveillance: A Path to Social Control and Stigmatization**",**Normalizing Surveillance and Stigmatizing Targeted Groups through Misframed Threat Narratives**,"* **Normalizing Surveillance and Control through Power-Imbalanced Misframing of Threat Narratives**
* **Surveillance and Stigma through Threat Conflation and Systemic Injustice**
* **Legitimizing State Control through Misinterpretation of Threat and Motivation, Perpetuating Power Imbalances**","Surveillance Normalization, Stigmatization, and Power Dynamics through Misframed Threat Narratives",Normalizing Surveillance and Stigmatizing Targeted Groups through Misframed Threat Narratives
